Date,Price,Open,High,Low,Vol.,Change %,,
18/08/2017,34.2,34.2,34.2,34.2,5.00K,-2.29%,,
17/08/2017,35,34.2,35,34.2,56.66K,2.34%,,
16/08/2017,34.2,34.2,34.2,34.2,145.38K,0.00%,,
15/08/2017,34.2,34.21,35.99,34.2,36.68K,-8.78%,,
14/08/2017,37.49,34.2,37.5,34.2,34.87K,9.62%,,
11/8/2017,34.2,35.9,35.9,34.2,57.84K,0.00%,,
10/8/2017,34.2,34.2,35.5,34.2,6.10K,0.00%,,
9/8/2017,34.2,34.2,34.5,34.2,23.14K,0.00%,,
8/8/2017,34.2,34.2,34.2,34.2,31.60K,0.00%,,
7/8/2017,34.2,34.35,34.35,34.2,37.65K,-4.97%,,
4/8/2017,35.99,35.9,35.99,35.99,257.33K,0.31%,,
3/8/2017,35.88,34.2,35.91,33,14.61K,4.91%,,
2/8/2017,34.2,32.49,0,0,41.95K,0.00%,,
1/8/2017,34.2,34.2,34.2,34.2,181.60K,0.00%,,
31/07/2017,34.2,34.2,34.2,34.2,22.14K,0.00%,,
28/07/2017,34.2,34.2,34.2,34.2,10.43K,-0.15%,,
27/07/2017,34.25,36,36,34.25,68.19K,-2.14%,,
26/07/2017,35,37.8,37.8,34.42,12.79K,-6.89%,,
25/07/2017,37.59,37.6,37.6,37.59,71.03K,4.42%,,
24/07/2017,36,36,36,36,162.09K,-0.03%,,
21/07/2017,36.01,34,36.01,32.68,122.00K,5.88%,,
20/07/2017,34.01,34,35,33.11,9.50K,-2.52%,,
19/07/2017,34.89,35.9,35.9,33,36.77K,1.72%,,
18/07/2017,34.3,34.3,34.3,34.3,235.82K,0.88%,,
17/07/2017,34,34.3,34.3,33,150.75K,3.50%,,
14/07/2017,32.85,33.02,33.9,32.85,44.11K,0.55%,,
13/07/2017,32.67,32.7,0,0,326.04K,0.00%,,
12/7/2017,32.67,32.67,32.67,32.67,185.36K,1.46%,,
11/7/2017,32.2,32.14,32.45,31.98,387.60K,0.63%,,
10/7/2017,32,32.2,32.2,30.54,156.27K,2.89%,,
7/7/2017,31.1,33.74,33.74,31.1,41.61K,-3.24%,,
6/7/2017,32.14,30.88,32.14,30.88,55.13K,0.00%,,
5/7/2017,32.14,32.14,32.14,32.14,459.65K,-5.00%,,
4/7/2017,33.83,33.95,33.95,33.83,749.34K,-5.00%,,
3/7/2017,35.61,35.61,35.61,35.61,370.65K,-4.99%,,
30/06/2017,37.48,37.48,37.48,37.48,202.92K,0.00%,,
29/06/2017,37.48,37.5,39.45,37.48,185.79K,-4.99%,,
28/06/2017,39.45,39.45,39.45,39.45,209.35K,0.00%,,
23/06/2017,39.45,43,43,39.45,21.04K,-4.99%,,
22/06/2017,41.52,43.7,41.52,41.52,160.77K,-4.99%,,
21/06/2017,43.7,45.99,44.31,43.7,1.52M,-0.32%,,
20/06/2017,43.84,41.79,43.87,41.79,2.94M,10.15%,,
19/06/2017,39.8,39.8,39.8,39.8,312.65K,0.63%,,
16/06/2017,39.55,39.55,39.55,39.55,126.38K,0.13%,,
15/06/2017,39.5,38.5,39.5,38.01,109.75K,3.95%,,
14/06/2017,38,38,39.4,37.82,18.97K,-0.42%,,
13/06/2017,38.16,38.02,39,38.02,62.46K,-4.12%,,
12/6/2017,39.8,39.86,0,0,124.66K,0.00%,,
9/6/2017,39.8,39.8,39.8,39.8,372.34K,4.74%,,
8/6/2017,38,38,38,38,158.98K,0.32%,,
7/6/2017,37.88,39.8,39.8,37.88,61.89K,-0.26%,,
6/6/2017,37.98,37.89,39.85,37.89,120.80K,-4.72%,,
5/6/2017,39.86,37.87,39.86,37.87,422.16K,0.00%,,
2/6/2017,39.86,37.87,0,0,42.81K,0.00%,,
1/6/2017,39.86,37.87,0,0,87.29K,5.25%,,
31/05/2017,37.87,37.87,37.87,37.87,,0.00%,,
30/05/2017,37.87,37.87,37.87,37.87,16.14K,0.00%,,
26/05/2017,37.87,37.87,37.87,37.87,0.08K,0.00%,,
25/05/2017,37.87,37.87,37.87,37.87,14.69K,0.00%,,
24/05/2017,37.87,37.87,37.87,37.87,0.06K,0.00%,,
23/05/2017,37.87,37.87,37.87,37.87,4.17K,0.00%,,
22/05/2017,37.87,37.87,37.87,37.87,1.92K,0.00%,,
19/05/2017,37.87,37.87,37.87,37.87,1.92K,0.00%,,
18/05/2017,37.87,37.87,37.87,37.87,1.07K,0.00%,,
17/05/2017,37.87,37.87,37.87,37.87,,0.00%,,
16/05/2017,37.87,37.87,37.87,37.87,,0.00%,,
15/05/2017,37.87,37.87,37.87,37.87,11.18K,0.00%,,
12/5/2017,37.87,37.87,37.87,37.87,13.04K,0.00%,,
11/5/2017,37.87,37.87,37.87,37.87,8.51K,0.00%,,
10/5/2017,37.87,37.87,37.87,37.87,,0.00%,,
9/5/2017,37.87,37.87,37.87,37.87,,0.00%,,
8/5/2017,37.87,37.87,37.87,37.87,,0.00%,,
5/5/2017,37.87,37.87,37.87,37.87,0.39K,0.00%,,
4/5/2017,37.87,37.87,37.87,37.87,0.40K,0.00%,,
3/5/2017,37.87,37.87,37.87,37.87,0.11K,0.00%,,
2/5/2017,37.87,37.87,37.87,37.87,,-4.99%,,
28/04/2017,39.86,39.86,39.86,39.86,57.70K,0.00%,,
27/04/2017,39.86,39.86,39.86,39.86,2.20K,-4.98%,,
26/04/2017,41.95,39.86,0,0,51.32K,5.24%,,
25/04/2017,39.86,39.86,39.86,39.86,,0.00%,,
24/04/2017,39.86,39.86,39.86,39.86,,0.00%,,
21/04/2017,39.86,39.86,39.86,39.86,,0.00%,,
20/04/2017,39.86,39.86,39.86,39.86,12.10K,0.00%,,
19/04/2017,39.86,39.86,39.86,39.86,0.30K,0.00%,,
18/04/2017,39.86,39.86,39.86,39.86,0.28K,0.00%,,
13/04/2017,39.86,39.86,39.86,39.86,2.45K,0.00%,,
12/4/2017,39.86,39.86,39.86,39.86,0.39K,0.00%,,
11/4/2017,39.86,39.86,39.86,39.86,,0.00%,,
10/4/2017,39.86,39.86,39.86,39.86,0.03K,0.00%,,
7/4/2017,39.86,39.86,39.86,39.86,0.08K,0.00%,,
6/4/2017,39.86,39.86,39.86,39.86,2.05K,0.00%,,
5/4/2017,39.86,39.86,39.86,39.86,0.23K,0.00%,,
4/4/2017,39.86,39.86,39.86,39.86,,0.00%,,
3/4/2017,39.86,39.86,39.86,39.86,,0.00%,,
31/03/2017,39.86,39.86,39.86,39.86,19.69K,0.00%,,
30/03/2017,39.86,39.86,39.86,39.86,,-0.47%,,
29/03/2017,40.05,40.05,40.05,40.05,,0.00%,,
28/03/2017,40.05,40.05,40.05,40.05,,0.48%,,
27/03/2017,39.86,39.86,39.86,39.86,0.63K,0.00%,,
24/03/2017,39.86,40,41.95,39.86,2.84K,-0.35%,,
23/03/2017,40,44,44,40,3.26K,-4.65%,,
22/03/2017,41.95,40,41.95,40,170.19K,4.88%,,
21/03/2017,40,38.2,40,40,2.36M,5.26%,,
20/03/2017,38,38,38,37.96,2.70M,0.11%,,
17/03/2017,37.96,40.5,40.5,37.96,45.38K,-4.98%,,
16/03/2017,39.95,41.9,0,0,9.46K,0.00%,,
15/03/2017,39.95,41.9,0,0,6.47K,0.00%,,
14/03/2017,39.95,42,39.95,39.95,124.09K,4.47%,,
13/03/2017,38.24,38.24,38.24,38.24,,-4.99%,,
10/3/2017,40.25,40.25,40.25,40.25,299.88K,0.00%,,
9/3/2017,40.25,40.01,40.25,36.86,14.67K,4.11%,,
8/3/2017,38.66,38.66,40.2,38.66,6.10M,0.00%,,
7/3/2017,38.66,38.59,0,0,6.37K,5.25%,,
6/3/2017,36.73,38.6,38.6,36.73,4.25K,-5.09%,,
3/3/2017,38.7,38.7,38.7,38.69,167.27K,0.00%,,
2/3/2017,38.7,38,38.7,36.73,649.13K,5.36%,,
1/3/2017,36.73,38,38,36.73,74.92K,-5.09%,,
28/02/2017,38.7,38,38.7,38,285.00K,0.00%,,
27/02/2017,38.7,38.45,38.7,38.45,145.00K,0.52%,,
24/02/2017,38.5,38.7,38.7,38.5,314.88K,-0.41%,,
23/02/2017,38.66,38.71,38.71,38.66,766.66K,0.70%,,
22/02/2017,38.39,40,0,0,56.07K,-0.88%,,
21/02/2017,38.73,40,40,38.73,32.01K,-0.90%,,
20/02/2017,39.08,40.3,40.3,39.08,93.93K,1.80%,,
17/02/2017,38.39,38.39,38.39,38.39,53.51K,4.98%,,
16/02/2017,36.57,36.57,36.57,36.57,157.27K,0.00%,,
15/02/2017,36.57,36.57,36.57,36.57,10.27K,0.00%,,
14/02/2017,36.57,36.57,36.57,36.57,19.07K,0.00%,,
13/02/2017,36.57,36.57,36.57,36.57,,0.00%,,
10/2/2017,36.57,36.57,36.57,36.57,25.82K,0.00%,,
9/2/2017,36.57,36.57,36.57,36.57,1.38K,0.00%,,
8/2/2017,36.57,36.57,36.57,36.57,8.53K,0.00%,,
7/2/2017,36.57,36.57,36.57,36.57,,0.00%,,
6/2/2017,36.57,36.57,36.57,36.57,45.62K,0.00%,,
3/2/2017,36.57,36.57,36.57,36.57,12.42K,0.00%,,
2/2/2017,36.57,36.57,36.57,36.57,31.03K,0.00%,,
1/2/2017,36.57,36.57,36.57,36.57,,0.00%,,
31/01/2017,36.57,36.5,36.57,36.5,20.84K,0.00%,,
30/01/2017,36.57,35.03,36.57,35.03,11.73K,4.31%,,
27/01/2017,35.06,36.57,36.57,35.06,6.20K,-4.13%,,
26/01/2017,36.57,35,36.57,35,45.60K,4.49%,,
25/01/2017,35,34.8,36.5,34.05,43.06K,-4.11%,,
24/01/2017,36.5,35.02,36.5,35.02,7.24K,4.29%,,
